DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,['Nucleus'],['Cytoplasm']
DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,DIP-27405N|refseq:NP_497702|uniprotkb:P52874,['Cytoplasm'],['Nucleus']
DIP-25913N|refseq:NP_491526|uniprotkb:Q9N593,DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,['Nucleus'],['Cytoplasm']
DIP-26974N|refseq:NP_491168|uniprotkb:Q9N3T2,DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,"['Nucleus', 'Mitochondrion']",['Cytoplasm']
DIP-24789N|refseq:NP_498773|uniprotkb:P34333,DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,['Nucleus'],['Cytoplasm']
DIP-26933N|refseq:NP_498747|uniprotkb:P34427,DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,['Nucleus'],['Cytoplasm']
DIP-26262N|refseq:NP_491384|uniprotkb:Q95Y80,DIP-27179N|refseq:NP_492449|uniprotkb:Q94420,['Nucleus'],['Cytoplasm']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-26850N|refseq:NP_499156|uniprotkb:P34559,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-24773N|refseq:NP_506579|uniprotkb:Q19749,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-25038N|refseq:NP_496505|uniprotkb:P52713,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-25527N|uniprotkb:O17645,"['Cytoplasm', 'Nucleus']",['Golgi apparatus']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-25302N|uniprotkb:O45924,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-26052N|refseq:NP_498409|uniprotkb:Q11189,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-24981N|refseq:NP_499420|uniprotkb:Q9XXC8,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-25663N|refseq:NP_490860|uniprotkb:Q9Y048,['Nucleus'],['Cytoplasm']
DIP-24649N|refseq:NP_496095|uniprotkb:O18209,DIP-24967N|refseq:NP_509713|uniprotkb:P41830,"['Cytoplasm', 'Golgi apparatus']",['Nucleus']
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-26588N|refseq:NP_491489|uniprotkb:O44750,['Nucleus'],['Cytoplasm']
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-25501N|refseq:NP_498286|uniprotkb:Q09248,['Nucleus'],['Cytoplasm']
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-26165N|refseq:NP_496043|uniprotkb:Q09436,['Nucleus'],['Cytoplasm']
DIP-24967N|refseq:NP_509713|uniprotkb:P41830,DIP-26850N|refseq:NP_499156|uniprotkb:P34559,['Nucleus'],['Mitochondrion']
DIP-27405N|refseq:NP_497702|uniprotkb:P52874,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-25913N|refseq:NP_491526|uniprotkb:Q9N593,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-26974N|refseq:NP_491168|uniprotkb:Q9N3T2,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,"['Nucleus', 'Mitochondrion']",['Cytoplasm']
DIP-24789N|refseq:NP_498773|uniprotkb:P34333,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-26933N|refseq:NP_498747|uniprotkb:P34427,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-26262N|refseq:NP_491384|uniprotkb:Q95Y80,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-24311N|uniprotkb:Q94407,DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0,['Nucleus'],['Cytoplasm']
DIP-26850N|refseq:NP_499156|uniprotkb:P34559,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-24773N|refseq:NP_506579|uniprotkb:Q19749,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-25038N|refseq:NP_496505|uniprotkb:P52713,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-25527N|uniprotkb:O17645,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Golgi apparatus'],"['Cytoplasm', 'Nucleus']"
DIP-25302N|uniprotkb:O45924,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-26052N|refseq:NP_498409|uniprotkb:Q11189,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-24981N|refseq:NP_499420|uniprotkb:Q9XXC8,DIP-41257N|refseq:NP_492217|uniprotkb:Q21227,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-25966N|refseq:NP_505567|uniprotkb:O17607,DIP-26850N|refseq:NP_499156|uniprotkb:P34559,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-24773N|refseq:NP_506579|uniprotkb:Q19749,DIP-25966N|refseq:NP_505567|uniprotkb:O17607,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-25038N|refseq:NP_496505|uniprotkb:P52713,DIP-25966N|refseq:NP_505567|uniprotkb:O17607,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-25527N|uniprotkb:O17645,DIP-25966N|refseq:NP_505567|uniprotkb:O17607,['Golgi apparatus'],"['Cytoplasm', 'Nucleus']"
DIP-25302N|uniprotkb:O45924,DIP-25966N|refseq:NP_505567|uniprotkb:O17607,['Mitochondrion'],"['Cytoplasm', 'Nucleus']"
DIP-25966N|refseq:NP_505567|uniprotkb:O17607,DIP-26052N|refseq:NP_498409|uniprotkb:Q11189,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
